idx,x,y,z
0,0.0,0.0,3.8146973e-06
1,0.0,0.0,1.0000038
2,0.0,0.0,2.0
3,0.0,0.0,3.0000076
4,0.0,0.0,4.000004
5,0.0,0.0,5.000004
6,0.0,0.0,6.000004
7,0.0,0.0,7.0
8,0.0,0.0,8.000008
9,0.0,0.0,9.000004
10,0.0,0.0,10.000004
11,0.0,0.0,11.000004
12,0.0,0.0,12.0
13,0.0,0.0,13.000008
14,0.0,0.0,14.000008
15,0.0,0.0,15.000008
16,0.0,0.0,16.0
17,0.0,0.0,17.0
18,0.0,0.0,18.000008
19,0.0,0.0,19.000008
20,0.0,0.0,20.000008
21,0.0,0.0,21.000008
22,0.0,0.0,22.0
23,0.0,0.0,23.000008
24,0.0,0.0,24.000008
25,0.0,0.0,25.000008
26,0.0,0.0,26.000008
27,0.0,0.0,27.0
28,0.0,0.0,28.000008
29,0.0,0.0,29.000008
30,0.0,0.0,30.000008
31,0.0,0.0,31.000008
32,0.0,0.0,32.0
33,0.0,0.0,33.000008
34,0.0,0.0,34.0
35,0.0,0.0,35.000008
36,0.0,0.0,36.000008
37,0.0,0.0,37.0
38,0.0,0.0,38.000008
39,0.0,0.0,39.0
40,0.0,0.0,40.000008
41,0.0,0.0,41.000008
42,0.0,0.0,42.000008
43,0.0,0.0,43.000008
44,0.0,0.0,44.0
45,0.0,0.0,45.000008
46,0.0,0.0,46.000008
47,0.0,0.0,47.000008
48,0.0,0.0,48.000008
49,0.0,0.0,49.0
50,0.0,0.0,50.000008
51,0.0,0.0,51.000008
52,0.0,0.0,52.000008
53,0.0,0.0,53.000008
54,0.0,0.0,54.0
55,0.0,0.0,55.000008
56,0.0,0.0,56.000008
57,0.0,0.0,57.000008
58,0.0,0.0,58.000008
59,0.0,0.0,59.0
60,0.0,0.0,60.000008
61,0.0,0.0,61.000008
62,0.0,0.0,62.000008
63,0.0,0.0,63.000008
64,0.0,0.0,64.0
65,0.0,0.0,65.00001
66,0.0,0.0,66.00001
67,0.0,0.0,67.00001
68,0.0,0.0,68.00001
69,0.0,0.0,69.0
70,0.0,0.0,70.00001
71,0.0,0.0,71.00001
72,0.0,0.0,72.00001
73,0.0,0.0,73.00001
74,0.0,0.0,74.0
75,0.0,0.0,75.00001
76,0.0,0.0,76.00001
77,0.0,0.0,77.00001
78,0.0,0.0,78.00001
79,0.0,0.0,79.00001
80,0.0,0.0,80.00001
81,0.0,0.0,81.00001
82,0.0,0.0,82.00001
83,0.0,0.0,83.00001
84,0.0,0.0,84.00001
85,0.0,0.0,85.00001
86,0.0,0.0,86.00001
87,0.0,0.0,87.00001
88,0.0,0.0,88.00001
89,0.0,0.0,89.00001
90,0.0,0.0,90.00001
91,0.0,0.0,91.00001
92,0.0,0.0,92.00001
93,0.0,0.0,93.00001
94,0.0,0.0,94.00001
95,0.0,0.0,95.00001
96,0.0,0.0,96.00001
97,0.0,0.0,97.00001
98,0.0,0.0,98.00001
99,0.0,0.0,99.00001
100,0.0,0.0,100.00001
101,0.0,0.0,101.00001
102,0.0,0.0,102.00001
103,0.0,0.0,103.00001
104,0.0,0.0,104.00001
105,0.0,0.0,105.00001
106,0.0,0.0,106.00001
107,0.0,0.0,107.00001
108,0.0,0.0,108.00001
109,0.0,0.0,109.00001
110,0.0,0.0,110.00001
111,0.0,0.0,111.00001
112,0.0,0.0,111.99999
113,0.0,0.0,113.00001
114,0.0,0.0,114.00001
115,0.0,0.0,115.00001
116,0.0,0.0,116.00001
117,0.0,0.0,116.99999
118,0.0,0.0,118.00001
119,0.0,0.0,119.00001
120,0.0,0.0,120.00001
121,0.0,0.0,121.00001
122,0.0,0.0,121.99999
123,0.0,0.0,123.00001
124,0.0,0.0,124.00001
125,0.0,0.0,125.00001
126,0.0,0.0,126.00001
127,0.0,0.0,126.99999
128,0.0,0.0,128.0
129,0.0,0.0,129.0
130,0.0,0.0,130.0
131,0.0,0.0,131.0
132,0.0,0.0,132.0
133,0.0,0.0,133.0
134,0.0,0.0,134.0
135,0.0,0.0,135.0
136,0.0,0.0,136.0
137,0.0,0.0,137.0
138,0.0,0.0,138.0
139,0.0,0.0,139.0
140,0.0,0.0,140.0
141,0.0,0.0,141.0
142,0.0,0.0,142.0
143,0.0,0.0,143.0
144,0.0,0.0,144.0
145,0.0,0.0,145.0
146,0.0,0.0,146.0
147,0.0,0.0,147.0
148,0.0,0.0,148.0
149,0.0,0.0,149.0
150,0.0,0.0,150.0
151,0.0,0.0,151.0
152,0.0,0.0,152.0
153,0.0,0.0,153.0
154,0.0,0.0,154.0
155,0.0,0.0,155.0
156,0.0,0.0,156.0
157,0.0,0.0,157.0
158,0.0,0.0,158.0
159,0.0,0.0,159.0
160,0.0,0.0,160.0
161,0.0,0.0,161.0
162,0.0,0.0,162.0
163,0.0,0.0,163.0
164,0.0,0.0,164.0
165,0.0,0.0,165.0
166,0.0,0.0,166.0
167,0.0,0.0,167.0
168,0.0,0.0,168.0
169,0.0,0.0,169.0
170,0.0,0.0,170.0
171,0.0,0.0,171.0
172,0.0,0.0,172.0
173,0.0,0.0,173.0
174,0.0,0.0,174.0
175,0.0,0.0,175.0
176,0.0,0.0,176.0
177,0.0,0.0,177.0
178,0.0,0.0,178.0
179,0.0,0.0,179.0
180,0.0,0.0,180.0
181,0.0,0.0,181.0
182,0.0,0.0,182.0
183,0.0,0.0,183.0
184,0.0,0.0,184.0
185,0.0,0.0,185.0
186,0.0,0.0,186.0
187,0.0,0.0,187.0
188,0.0,0.0,188.0
189,0.0,0.0,189.0
190,0.0,0.0,190.0
191,0.0,0.0,191.0
192,0.0,0.0,192.0
193,0.0,0.0,193.0
194,0.0,0.0,194.0
195,0.0,0.0,195.0
196,0.0,0.0,196.0
197,0.0,0.0,197.0
198,0.0,0.0,198.0
199,0.0,0.0,199.0
200,0.0,0.0,200.0
